City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bambous virieux,49,MX,1586674316,14,25.53,-103.25,71.4,6.09
Saint george,93,CN,1586674352,32,24.19,102.82,65.53,3.35
Opotiki,1,US,1586674275,74,64.84,-147.72,32.99,0.37
El alto,20,IN,1586674550,62,8.13,77.3,89.58,3.1
Tayu,100,RU,1586674321,83,60.87,60.42,37.76,0.83
Tsienyane,4,IN,1586674550,19,26.63,92.8,96.65,1.51
Mrirt,0,RU,1586674550,75,54.44,83.5,41.12,1.68
Bartica,98,ET,1586674481,29,12.6,37.47,70.86,0.92
Tual,90,US,1586674550,83,29.7,-91.21,73.97,3.1
Borculo,null,null,null,null,null,null,null,null
Souillac,10,NA,1586674454,89,-22.12,14.28,62.98,0.89
Broken hill,0,RU,1586674342,64,61.28,108.01,39.23,3.71
Kirgiz-miyaki,40,ID,1586674551,74,-8.61,120.47,69.11,1.48
Riyadh,0,CL,1586674551,81,-37.25,-73.32,49.98,2.1
Caluquembe,66,PE,1586674552,80,-17.64,-71.34,70.82,3.12
Strelka,4,RU,1586674377,31,56.13,101.61,46.38,5
Hualmay,34,PK,1586674552,61,25.12,62.33,80.29,2.36
Kamenka,20,CN,1586674444,34,29.29,121.42,67.98,11
Lorengau,38,ID,1586674552,44,-0.32,102.35,97.05,0.65
Comodoro rivadavia,0,RU,1586674552,48,50.68,36.55,40.98,6
Key west,100,GL,1586674424,93,64.18,-51.72,37.38,7.7
Oriximina,40,US,1586674339,64,57.05,-135.33,37.38,1.5
